"#","Time (ms)","ΔTime (ms)","Instant BPM","Average BPM","Instant Hz","Average Hz"
"39","32400.300","473.600","126.689","71.846","2.111486","1.197431"
"38","31926.700","505.100","118.788","71.015","1.979806","1.183583"
"37","31421.600","483.400","124.121","70.230","2.068680","1.170507"
"36","30938.200","481.300","124.662","69.370","2.077706","1.156165"
"35","30456.900","494.100","121.433","68.477","2.023882","1.141277"
"34","29962.800","499.900","120.024","67.583","2.000400","1.126391"
"33","29462.900","454.300","132.071","66.673","2.201189","1.111219"
"32","29008.600","486.200","123.406","65.625","2.056767","1.093748"
"31","28522.400","480.200","124.948","64.616","2.082466","1.076940"
"30","28042.200","482.000","124.481","63.558","2.074689","1.059303"
"29","27560.200","492.600","121.803","62.466","2.030045","1.041105"
"28","27067.600","473.200","126.796","61.359","2.113271","1.022654"
"27","26594.400","506.600","118.437","60.165","1.973944","1.002750"
"26","26087.800","496.300","120.895","59.004","2.014910","0.983396"
"25","25591.500","498.600","120.337","57.771","2.005616","0.962858"
"24","25092.900","481.300","124.662","56.494","2.077706","0.941573"
"23","24611.600","494.300","121.384","55.124","2.023063","0.918738"
"22","24117.300","496.700","120.797","53.728","2.013288","0.895461"
"21","23620.600","477.000","125.786","52.276","2.096436","0.871274"
"20","23143.600","495.800","121.017","50.716","2.016942","0.845275"
"19","22647.800","472.000","127.119","49.131","2.118644","0.818848"
"18","22175.800","512.700","117.028","47.420","1.950458","0.790326"
"17","21663.100","487.800","123.001","45.720","2.050021","0.761999"
"16","21175.300","500.700","119.832","43.882","1.997204","0.731365"
"15","20674.600","495.900","120.992","41.981","2.016536","0.699689"
"14","20178.700","506.800","118.390","39.973","1.973165","0.666223"
"13","19671.900","496.600","120.822","37.882","2.013693","0.631373"
"12","19175.300","513.200","116.913","35.657","1.948558","0.594286"
"11","18662.100","516.800","116.099","33.340","1.934985","0.555667"
"10","18145.300","494.500","121.335","30.893","2.022245","0.514886"
"9","17650.800","474.300","126.502","28.260","2.108370","0.471001"
"8","17176.500","1016.900","59.003","25.438","0.983381","0.423965"
"7","16159.600","1082.000","55.453","23.235","0.924214","0.387249"
"6","15077.600","3464.500","17.319","20.816","0.288642","0.346936"
"5","11613.100","499.900","120.024","21.923","2.000400","0.365384"
"4","11113.200","8939.700","6.712","17.229","0.111861","0.287150"
"3","2173.500","881.700","68.050","79.586","1.134173","1.326436"
"2","1291.800","626.100","95.831","95.831","1.597189","1.597189"
"1","665.700","0.000","-","-","-","-"
